"","V1","V2","V3","V4","V5","V6","V7"
"1",0.057,0.063,0.061,0.046,0.05,0,0
"2",0.053,0.061,0.051,0.047,0.049,0,0
"3",0.057,0.064,0.042,0.039,0.044,0,0
"4",0.055,0.053,0.015,0.002,0,0,0
"5",0.028,0.011,0.009,0.006,0.005,0,0
"6",0.359,0.345,0.363,0.347,0.595,0,0
"7",0.321,0.322,0.331,0.297,0.527,0,0
"8",0.297,0.306,0.306,0.26,0.505,0,0
"9",0.338,0.268,0.141,0.013,0,0,0
"10",0.237,0.146,0.095,0.073,0.095,0,0
