"","setting....1.CvM.d.5","setting....1.CvM.d.10","setting....1.CvM.d.20","setting....1.CvM.d.40","setting....1.KS.d.5","setting....1.KS.d.10","setting....1.KS.d.20","setting....1.KS.d.40","setting....2.CvM.d.5","setting....2.CvM.d.10","setting....2.CvM.d.20","setting....2.CvM.d.40","setting....2.KS.d.5","setting....2.KS.d.10","setting....2.KS.d.20","setting....2.KS.d.40","setting....3.CvM.d.5","setting....3.CvM.d.10","setting....3.CvM.d.20","setting....3.CvM.d.40","setting....3.KS.d.5","setting....3.KS.d.10","setting....3.KS.d.20","setting....3.KS.d.40"
"n=50",0.086,0.134,0.139,0.168,0.1,0.139,0.176,0.164,0.69,0.728,0.763,0.729,0.808,0.85,0.898,0.881,0.096,0.151,0.296,0.501,0.119,0.171,0.345,0.602
"n=100",0.172,0.227,0.281,0.268,0.186,0.242,0.323,0.354,0.975,0.974,0.98,0.989,0.991,0.996,0.998,0.997,0.168,0.269,0.473,0.828,0.201,0.319,0.586,0.907
"n=200",0.338,0.431,0.474,0.562,0.37,0.518,0.601,0.701,1,1,1,1,1,1,1,1,0.246,0.489,0.82,0.986,0.292,0.593,0.9,0.998
